               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13481,            0.020386,            0.050729,                   0,                   0,                   0,                   0,             0.12685,             0.01589,            0.050321,            0.067221,           0.0003311,           0.0003311
                   1,             0.13335,            0.021276,            0.050306,          0.00010074,            0.012945,           5.612e-05,          1.4954e-05,             0.12482,            0.016997,            0.049191,            0.034219,          0.00066224,          0.00066224
                   2,             0.13043,            0.021179,            0.049265,          0.00061543,            0.025345,          0.00034617,          9.7221e-05,              0.1247,            0.017296,            0.048291,           0.0012149,          0.00099118,          0.00099118
                   3,              0.1302,            0.022017,            0.047919,           0.0012074,             0.10439,           0.0040185,           0.0010196,             0.12244,            0.018041,            0.045867,           0.0009901,           0.0009901,           0.0009901
                   4,             0.12909,            0.022295,            0.047121,             0.86606,            0.023719,            0.024286,           0.0046552,             0.12048,            0.018164,            0.044381,           0.0009901,           0.0009901,           0.0009901
                   5,             0.12804,            0.022699,            0.046407,             0.89144,            0.090352,            0.053946,            0.014408,             0.11869,            0.018902,            0.042326,           0.0009868,           0.0009868,           0.0009868
                   6,             0.12568,            0.022879,            0.043703,             0.88874,            0.084388,            0.058335,            0.015442,             0.11673,            0.019906,            0.039779,           0.0009835,           0.0009835,           0.0009835
                   7,             0.12512,            0.023017,            0.041939,             0.88596,            0.099156,            0.053935,            0.020196,             0.11414,             0.01889,            0.037464,           0.0009802,           0.0009802,           0.0009802
                   8,             0.12183,            0.024128,            0.039959,             0.89525,             0.11224,            0.077206,            0.028679,             0.11162,             0.02018,            0.036607,           0.0009769,           0.0009769,           0.0009769
                   9,              0.1205,            0.024744,            0.039445,             0.94182,             0.10759,             0.11851,            0.051567,             0.11004,            0.019886,             0.03667,           0.0009736,           0.0009736,           0.0009736
                  10,             0.11882,            0.024623,            0.039054,             0.94888,             0.10127,             0.14308,            0.053582,             0.10575,            0.022027,            0.036128,           0.0009703,           0.0009703,           0.0009703
                  11,              0.1181,            0.026984,            0.039566,             0.94925,             0.12869,             0.16112,            0.055579,             0.10251,            0.022253,            0.035845,            0.000967,            0.000967,            0.000967
                  12,              0.1125,            0.027061,            0.037122,             0.94582,             0.12869,             0.15935,            0.062825,            0.099453,            0.023303,            0.035853,           0.0009637,           0.0009637,           0.0009637
                  13,             0.10877,            0.027805,            0.038005,             0.49133,             0.21495,             0.15811,            0.059784,            0.094668,             0.02426,            0.034801,           0.0009604,           0.0009604,           0.0009604
                  14,             0.10349,            0.029014,            0.036736,              0.4917,             0.25286,             0.19006,            0.067757,            0.087991,            0.025751,            0.034488,           0.0009571,           0.0009571,           0.0009571
